site,fullrep,species,uevent,totbit,totmsbit,grpsiz,posi,indfeeding
rl,rl_1_1,Siganus virgatus ,"rl_1_1_2,8_3",1,0.270213483,1,2,1
rl,rl_1_1,Siganus virgatus ,"rl_1_1_2,9_3",10,2.702134833,1,2,1
rl,rl_1_1,Siganus virgatus ,"rl_1_1_3,1_4",2,0.474375597,1,3,1
rl,rl_1_1,Siganus virgatus ,"rl_1_1_3,10_3",9,2.755831999,1,3,1
rl,rl_1_1,Siganus virgatus ,"rl_1_1_3,3_4",6,1.6212809,1,3,1
rl,rl_1_1,Siganus virgatus ,"rl_1_1_3,4_8",2,0.540426967,1,3,1
rl,rl_1_1,Siganus virgatus ,"rl_1_1_3,5_4",2,0.540426967,1,3,1
rl,rl_1_1,Siganus virgatus ,"rl_1_1_3,5_6",14,3.782988767,1,3,1
rl,rl_1_1,Siganus virgatus ,"rl_1_1_3,6_1",5,1.351067417,1,3,1
rl,rl_1_1,Siganus virgatus ,"rl_1_1_3,9_2",7,2.143424888,1,3,1
rl,rl_1_1,Siganus virgatus ,"rl_1_1_4,10_2",23,6.214910117,1,4,1
