series,m0,m0_over_y0,rmse_normalized_prey,rmse_normalized_predator,rmse_normalized_total,validation_rmse_normalized_prey,validation_rmse_normalized_predator,validation_rmse_normalized_total
andren_lynx_roedeer_data_7,0.11632415664986429,1.5,0.07459177402648211,0.07602968354293231,0.07531416046155,0.1502239496778659,0.2254012633767968,0.1915371564327325
andren_lynx_roedeer_data_7,0.15509887553315238,2.0,0.07458497930281671,0.07597558060012333,0.07528349083672806,0.15022529206503965,0.22539896711975735,0.19153633174241372
andren_lynx_roedeer_data_7,0.23264831329972857,3.0,0.07459505359645478,0.07608192455847645,0.07534215707550343,0.1502350635461249,0.22545980669319868,0.1915759624181002
andren_lynx_roedeer_data_7,0.38774718883288095,5.0,0.07458519624023072,0.0759914284421577,0.07529159546348219,0.1502387185913924,0.22545867439916611,0.19157672930945033
timeserieslogmeans_WRHW,0.0,0.0,inf,inf,inf,inf,inf,inf
timeserieslogmeans_WRHW,0.4245609131154361,0.25,0.1627796847533402,0.2017918726278161,0.18332646512033876,0.02477511129097628,0.21583653781566323,0.1536216410466515
timeserieslogmeans_WRHW,0.8491218262308722,0.5,0.16277968293646639,0.20178595082289488,0.18332320519562745,0.02477511129097628,0.21583053375037242,0.15361742322804878
timeserieslogmeans_WRHW,1.2736827393463082,0.75,inf,inf,inf,inf,inf,inf
timeserieslogmeans_WRHW,1.6982436524617444,1.0,0.1627796858874559,0.2017923448460857,0.18332672551499463,0.02477511129097628,0.21583681224437512,0.15362183383115482
timeserieslogmeans_WRHW,2.5473654786926163,1.5,0.16277968310402885,0.20178728428182321,0.18332393914773024,0.02477511129097628,0.21584309626324558,0.15362624831711694
timeserieslogmeans_WRHW,3.3964873049234887,2.0,inf,inf,inf,inf,inf,inf
timeserieslogmeans_WRHW,5.094730957385233,3.0,0.1627796809662475,0.20178829487439628,0.18332449438603343,0.02477511129097628,0.2158430642725993,0.1536262258438736
timeserieslogmeans_WRHW,8.491218262308722,5.0,0.16277967886938774,0.20178913052305195,0.18332495336160637,0.02477511129097628,0.21584326644998356,0.1536263678723136
timeserieslogmeans_TP,0.0,0.0,0.16192885862699086,0.1903775704066408,0.17672658907218158,0.031710193385844014,0.12218607999294746,0.08926078228598096
timeserieslogmeans_TP,2.0794094277566777,0.25,0.16193979161936825,0.19037573003349015,0.17673060670906543,0.03170642618680558,0.12219421011886156,0.08926567774937869
timeserieslogmeans_TP,4.158818855513355,0.5,0.16195484518019823,0.1903793838593275,0.17673947164682705,0.031685662705268104,0.12219595229997407,0.08926318384297513
timeserieslogmeans_TP,6.238228283270033,0.75,0.161966639217036,0.19038114358458014,0.1767458232205701,0.031701176991212825,0.12221006561224115,0.08927559789655987
timeserieslogmeans_TP,8.31763771102671,1.0,0.1619315874029901,0.190375761002147,0.17672686464711415,0.031699698968823214,0.12221607712957502,0.08927945010935116
timeserieslogmeans_TP,12.476456566540065,1.5,0.1619448216227665,0.19037573427628493,0.17673291353291315,0.031676101376212705,0.12222472935017106,0.0892811846446906
timeserieslogmeans_TP,16.63527542205342,2.0,0.16193202720569155,0.19037233128058775,0.17672521884574183,0.031689104413544396,0.12224474739613414,0.0892971936974426
timeserieslogmeans_TP,24.95291313308013,3.0,0.1619560297108571,0.1903773369419398,0.17673891193057756,0.031658413220812164,0.12226724950766338,0.0893071537723292
timeserieslogmeans_TP,41.588188555133556,5.0,0.16195325247402062,0.190372766740084,0.17673517802518587,0.03166721881692319,0.1223353303920133,0.08935531827966914
windermere_north_pike_perch,0.0,0.0,2.8215839946311014,0.2212197683241583,2.0012838909879576,14.082163266620809,0.4133613828032442,9.961882098794321
windermere_north_pike_perch,2.45,0.25,2.1903259302823073,0.2212046569234524,1.5566726022371686,13.149984337278207,0.41374426746847,9.303044458389017
windermere_north_pike_perch,4.9,0.5,1.5048196631459665,0.2212048773811042,1.0755030953855802,11.748775837679121,0.4143682613929468,8.312804422698834
windermere_north_pike_perch,7.3500000000000005,0.75,0.7669722755597911,0.22128371602344035,0.5644523693167152,9.394770996805828,0.4155021207454043,6.649600141917103
windermere_north_pike_perch,9.8,1.0,0.049252945295902455,0.22193206710226246,0.16074777607886878,4.277689031207687,0.41875764651613906,3.039241798066608
windermere_north_pike_perch,14.700000000000001,1.5,0.3086049901261132,0.24302625618482546,0.27775780918450416,0.81828206807993,0.4900466909016153,0.6744372847807238
windermere_north_pike_perch,19.6,2.0,0.3134714611887456,0.24667871738094893,0.28205916630072253,0.8182820687368,0.49728550276624617,0.677081389227933
windermere_north_pike_perch,29.400000000000002,3.0,0.31848615007862185,0.24653096723491402,0.28479022595384546,0.8182820687400538,0.5027851258453604,0.6791091321697997
windermere_north_pike_perch,49.0,5.0,0.32172549523822924,0.2435507013880188,0.2853280904790832,0.818282068740071,0.5064411266604805,0.6804660751259636
windermere_south_pike_perch,0.0,0.0,0.06643809668727538,0.18814132342156603,0.14108716857008305,2.195790943767662,0.3613759127782356,1.5735454265874218
windermere_south_pike_perch,1.725,0.25,0.06219085645108007,0.18804668969944516,0.14005224049089374,2.1275208493069138,0.3562771999566774,1.5253324895649114
windermere_south_pike_perch,3.45,0.5,0.059546908751763425,0.1879536422510394,0.13941378335251242,2.0621555668512683,0.35133239722072357,1.4791754519380953
windermere_south_pike_perch,5.175000000000001,0.75,0.057736850671444226,0.18790926347984832,0.13900258131954907,1.9979697071981326,0.346463271202628,1.4338618743055096
windermere_south_pike_perch,6.9,1.0,0.057097401428011854,0.18788086637087564,0.1388512390980044,1.9334593121255423,0.34156728524708413,1.3883322948768493
windermere_south_pike_perch,10.350000000000001,1.5,0.05918429832052862,0.18795627258673803,0.13933833207770485,1.8102511269558752,0.3321620818648975,1.3014109249721701
windermere_south_pike_perch,13.8,2.0,0.06488812946126965,0.1881334020117324,0.1407207275021889,1.6927710987332236,0.3231592188933622,1.2185864502492743
windermere_south_pike_perch,20.700000000000003,3.0,0.08258431010451733,0.18884538267936563,0.14574420543327807,1.472354611381399,0.3064210559938695,1.0634194763150777
windermere_south_pike_perch,34.5,5.0,0.12474074980309588,0.1916356642212667,0.16168562469026837,1.0927760795992616,0.27945312904016184,0.7975755799529815
komi_lynx_hare,0.0,0.0,0.22733648725698713,0.2976184828053014,0.26481940992464637,0.5229536751915982,0.6833878989661384,0.6084815390994835
komi_lynx_hare,4.5,0.25,0.22750324935951524,0.2977892966046705,0.2649869748133314,0.5229493355901148,0.6833857459648762,0.6084784652648411
komi_lynx_hare,9.0,0.5,0.22762311734551968,0.29820474300997124,0.2652718909946314,0.5229455392077069,0.6833825224202043,0.6084750236972098
komi_lynx_hare,13.5,0.75,0.227758864545364,0.298726316308361,0.2656233352269303,0.5229425515261336,0.6833783971840215,0.6084714232954844
komi_lynx_hare,18.0,1.0,0.22783108867323454,0.29939905548898826,0.2660327041866559,0.5229383009345626,0.6833743991301553,0.6084673516183214
