series,delta,memory_timescale,m0,rmse_normalized_prey,rmse_normalized_predator,rmse_normalized_total,validation_rmse_normalized_prey,validation_rmse_normalized_predator,validation_rmse_normalized_total,profile_rss,profile_likelihood_ratio,inside_confidence_interval,confidence_level,likelihood_ratio_threshold,optimization_status,r,K,a,theta,e,mu,phi
timeserieslogmeans_WRHW,0.01,100.0,1.6982436524617444,0.16277968177913205,0.20175854615782063,0.18330812277124126,0.024775111290976294,0.21585005167330246,0.1536311344533516,3.2929830516438123,nan,False,,,failed,1.0202747217215733,22262545.828896534,0.09059453053093154,3.1757654305670455e-08,0.013231038583942777,0.03528526006200876,5.9991243281875394e-05
timeserieslogmeans_WRHW,0.01539926526059492,64.93816315762113,1.6982436524617444,0.16277968178363733,0.20176032532508978,0.18330910189740757,0.024775111290976294,0.215846254007799,0.1536284666145561,3.2930182301665463,nan,False,,,failed,1.0202747217215733,22262545.828896534,0.09059453053093154,3.1757654305670455e-08,0.013231038583942777,0.03528526006200876,5.9991243281875394e-05
timeserieslogmeans_WRHW,0.023713737056616554,42.169650342858226,1.6982436524617444,0.16277968179089103,0.20177363097305503,0.1833164244687234,0.02477511129097629,0.2158387259338821,0.15362317818649912,3.2932813250397226,nan,False,,,failed,1.0202747217215733,22262545.828896534,0.09059453053093154,3.1757654305670455e-08,0.013231038583942777,0.03528526006200876,5.9991243281875394e-05
timeserieslogmeans_WRHW,0.03651741272548377,27.384196342643612,1.6982436524617444,0.1627796818028305,0.20177475434729472,0.18331704271526675,0.024775111290976284,0.21584912417886065,0.1536304828936326,3.2933035386873515,0.23325188877140723,True,0.95,3.841458820694124,success,1.0202747217215733,22262545.828896534,0.09059453053093154,3.1757654305670455e-08,0.013231038583942777,0.03528526006200876,5.9991243281875394e-05
timeserieslogmeans_WRHW,0.05623413251903491,17.78279410038923,1.6982436524617444,0.1627796818231074,0.20178518111585192,0.18332278108897057,0.02477511129097626,0.21584772963501198,0.15362950323435515,3.2935097224870735,0.23938718108293972,True,0.95,3.841458820694124,success,1.0202747217215733,22262545.828896534,0.09059453053093154,3.1757654305670455e-08,0.013231038583942777,0.03528526006200876,5.9991243281875394e-05
timeserieslogmeans_WRHW,0.08659643233600653,11.547819846894583,1.6982436524617444,0.16277952970101248,0.20141714680682618,0.18312023689025386,0.024775111290976284,0.21161921603542022,0.15065938194305412,3.2862360735567835,0.022716839209917027,True,0.95,3.841458820694124,success,1.0852132314844125,22268682.07890843,0.1007718974894597,3.1770811836801e-08,0.011004502281250175,0.02832609030775832,5.9981444429088793e-05
timeserieslogmeans_WRHW,0.1333521432163324,7.498942093324558,1.6982436524617444,0.16277985176264334,0.20142861598076545,0.18312668767248919,0.024775111290976284,0.21134386784863737,0.1504660038292746,3.2864676063139457,0.029621215648115345,True,0.95,3.841458820694124,success,1.0793916103380126,22265085.97133467,0.10130599799688113,3.176185395179543e-08,0.011173588013727646,0.027791640446405343,6.0000489198524674e-05
timeserieslogmeans_WRHW,0.2053525026457146,4.869675251658631,1.6982436524617444,0.16278056843428113,0.20146679080782542,0.18314800197953532,0.024775111290976284,0.21132013397741647,0.15044933559792398,3.2872326816513957,0.052432533513004774,True,0.95,3.841458820694124,success,1.0341880826233742,22261888.26985195,0.09825293420569363,3.175714494588108e-08,0.012456826144514559,0.0277213571009736,6.0002512305878146e-05
timeserieslogmeans_WRHW,0.31622776601683794,3.162277660168379,1.6982436524617444,0.16277838953151696,0.2013811289251181,0.18309992242711262,0.024775111290976284,0.21184518973471891,0.1508180867025227,3.2855069960958363,0.0009723520293727278,True,0.95,3.841458820694124,usable_limit,1.1164374308047336,22262207.75010413,0.1021332824066791,3.1759588177326303e-08,0.010000000000000004,0.028780703636164418,6.0033772839103334e-05
timeserieslogmeans_WRHW,0.4869675251658631,2.0535250264571463,1.6982436524617444,0.16277822941632134,0.20137960655958384,0.1830990140743599,0.024775111290976284,0.21187351721181347,0.15083798168098259,3.2854743975902596,0.0,True,0.95,3.841458820694124,success,1.1124036941941404,22258263.8813874,0.10171854816579436,3.1740869917173874e-08,0.010000000000000004,0.02884163832591442,6.003289816665851e-05
timeserieslogmeans_WRHW,0.7498942093324559,1.333521432163324,1.6982436524617444,0.16277918500703736,0.20166018289003795,0.18325377545196558,0.02477511129097628,0.2142751088932341,0.1525247986897337,3.291030729305144,0.16559574640768318,True,0.95,3.841458820694124,success,1.0174857075696362,22260755.191557962,0.08961753341605481,3.1755489035150844e-08,0.013041899709689652,0.03329022043744363,5.9992112335424814e-05
timeserieslogmeans_WRHW,1.0,1.0,1.6982436524617444,0.1627796858874559,0.2017923448460857,0.18332672551499463,0.02477511129097628,0.21583681224437512,0.15362183383115482,3.2936514522289175,0.24360432845020877,True,0.95,3.841458820694124,success,1.0202747217215733,22262545.828896534,0.09059453053093154,3.1757654305670455e-08,0.013231038583942777,0.03528526006200876,5.9991243281875394e-05
timeserieslogmeans_WRHW,1.1547819846894583,0.8659643233600653,1.6982436524617444,0.16277968515763253,0.20178069379074903,0.18332031295889442,0.02477511129097635,0.21584202542941192,0.15362549606258585,3.2934210400480053,nan,False,,,failed,1.0202747217215733,22262545.828896534,0.09059453053093154,3.1757654305670455e-08,0.013231038583942777,0.03528526006200876,5.9991243281875394e-05
timeserieslogmeans_WRHW,1.7782794100389228,0.5623413251903491,1.6982436524617444,0.16277967998868334,0.20177055532214336,0.18331473101230064,0.024775111290976298,0.21584029462231946,0.15362428018078705,3.2932204793989897,nan,False,,,failed,1.0202747217215733,22262545.828896534,0.09059453053093154,3.1757654305670455e-08,0.013231038583942777,0.03528526006200876,5.9991243281875394e-05
timeserieslogmeans_WRHW,2.7384196342643614,0.36517412725483767,1.6982436524617444,0.16277968082007324,0.20178635897026534,0.18332342888234676,0.024775111290976277,0.21584104918783864,0.153624810258609,3.2935329985637236,nan,False,,,failed,1.0202747217215733,22262545.828896534,0.09059453053093154,3.1757654305670455e-08,0.013231038583942777,0.03528526006200876,5.9991243281875394e-05
timeserieslogmeans_WRHW,4.216965034285822,0.23713737056616555,1.6982436524617444,0.16277968211315821,0.2018090981571643,0.18333594438607614,0.02477511129103923,0.2158412621612807,0.153624959871204,3.2939827133855717,nan,False,,,failed,1.0202747217215733,22262545.828896534,0.09059453053093154,3.1757654305670455e-08,0.013231038583942777,0.03528526006200876,5.9991243281875394e-05
