series,study,pathway,fear_parameter,fear_strength,profile_rss,rmse_normalized_total,validation_rmse_normalized_total,optimization_status,profile_likelihood_ratio,inside_confidence_interval,confidence_level,likelihood_ratio_threshold
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_instant,phi,0.8425667338542934,0.1730770998059707,0.06933755992845811,0.08689242802344942,usable_limit,0.0,True,0.95,3.841458820694124
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_instant,phi,2.52770020156288,0.37586314098581497,0.10217946371537447,0.11915492895444235,usable_limit,27.917565535915802,False,0.95,3.841458820694124
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_instant,phi,2.672727272727273,1.882957630844372,0.22870150553629046,0.18528438758152166,success,85.92702727273854,False,0.95,3.841458820694124
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_memory,phi,0.0,1.9294690942168011,0.23150888477171772,0.1814776911693343,success,30.680857051455227,False,0.95,3.841458820694124
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_memory,phi,0.06572573264156631,1.6283063176038686,0.21267517731167385,0.16647340707290229,success,24.571495818223983,False,0.95,3.841458820694124
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_memory,phi,0.21908577547188768,1.1092428018902547,0.1755343272767668,0.12342329605452226,success,10.752435609707483,False,0.95,3.841458820694124
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_memory,phi,0.657257326415663,0.8228337160354355,0.1511836370514198,0.05534949489821585,success,0.0,True,0.95,3.841458820694124
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_memory,phi,1.9717719792469892,0.9372263266134724,0.16135075031790838,0.12255276743499792,success,4.686143861363421,False,0.95,3.841458820694124
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_memory,phi,2.672727272727273,0.9575640614570042,0.1630920038111587,0.12886965957243282,success,5.458985625570499,False,0.95,3.841458820694124
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_saturating,phi,0.0,0.5106421392134161,0.11909871480011586,0.13463813657720455,usable_limit,53.31856977966528,False,0.95,3.841458820694124
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_saturating,phi,6.644569996247051e-06,0.11611692382374075,0.056793222361607734,0.05742054994317769,usable_limit,0.0,True,0.95,3.841458820694124
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_saturating,phi,2.2148566654156834e-05,0.2635936511279945,0.08556895385983466,0.0901542614876462,usable_limit,29.51319850698151,False,0.95,3.841458820694124
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_saturating,phi,6.64456999624705e-05,0.25895426693271706,0.0848125820940759,0.09657661924771278,usable_limit,28.873937631937054,False,0.95,3.841458820694124
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_saturating,phi,0.0001993370998874115,0.8076209788379719,0.14977955828093684,0.14429034779583017,usable_limit,69.82182775511774,False,0.95,3.841458820694124
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_saturating,phi,0.0006644569996247051,0.35294470093437824,0.09901524867614783,0.1325416101213138,usable_limit,40.021694734871964,False,0.95,3.841458820694124
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_foraging,psi,0.0,6.387487876593183,0.4212246654628087,0.1901713115458059,success,0.0,True,0.95,3.841458820694124
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_foraging,psi,1.0791714524146984e-06,6.387520440016154,0.42122573916343486,0.19016975829655877,failed,nan,False,,
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_foraging,psi,3.5972381747156618e-06,6.387596378890249,0.4212282430547023,0.19016613442668245,success,0.0006115157624563123,True,0.95,3.841458820694124
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_foraging,psi,1.0791714524146985e-05,6.387812790202193,0.42123537858575355,0.19015578338954128,success,0.0018311725464522626,True,0.95,3.841458820694124
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_foraging,psi,3.237514357244095e-05,6.388458591860493,0.4212566712910739,0.19012475478906934,success,0.005470553555728488,True,0.95,3.841458820694124
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_foraging,psi,0.00010791714524146986,6.390683321054,0.42133001452589264,0.19001636013055304,success,0.018005080884896357,True,0.95,3.841458820694124
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_handling,psi,0.0,12.080013938059228,0.5792719074181549,0.21290215974488116,success,27.422502600800616,False,0.95,3.841458820694124
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_handling,psi,1.2450494471654576e-06,5.639617042638722,0.39579796482825264,0.2084873587632222,success,0.0,True,0.95,3.841458820694124
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_handling,psi,4.1501648238848585e-06,5.639626622587263,0.39579830099669255,0.20848799721146588,success,6.115270806018541e-05,True,0.95,3.841458820694124
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_handling,psi,1.2450494471654576e-05,5.6396298946407475,0.3957984158157319,0.20848811339431927,success,8.203953250960014e-05,True,0.95,3.841458820694124
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_handling,psi,3.735148341496373e-05,5.6396420772528595,0.39579884331328585,0.20848740482480402,success,0.00015980590557882613,True,0.95,3.841458820694124
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_handling,psi,0.00012450494471654577,5.639637763387155,0.3957986919363581,0.20848743521158467,success,0.00013226883449573277,True,0.95,3.841458820694124
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_instant,phi,0.0,3.261597501726345,0.3009982235886278,0.3202753935038962,success,113.69376165045172,False,0.95,3.841458820694124
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_instant,phi,1e-09,0.13863053041920592,0.062055201773905826,0.06213353638330262,usable_limit,0.0,True,0.95,3.841458820694124
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_instant,phi,3.3333333333333334e-09,2.365297092660559,0.25632537334089434,0.22201810934286928,usable_limit,102.12647666106699,False,0.95,3.841458820694124
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_instant,phi,1e-08,0.255927194505797,0.08431541221077045,0.15744079230895805,usable_limit,22.07090404354671,False,0.95,3.841458820694124
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_instant,phi,3.0000000000000004e-08,0.147869835619476,0.06408974515376335,0.06682236935408811,usable_limit,2.3227220892929794,True,0.95,3.841458820694124
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_instant,phi,1e-07,3.2360624744927784,0.2998176517342934,0.3268557576711249,success,113.41080879783702,False,0.95,3.841458820694124
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_memory,phi,0.0,6.870826091729335,0.43687101108429577,0.28083954668402833,failed,,,,
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_memory,phi,0.28264200587186855,6.9005219113547245,0.4378140749271292,0.28083951827294457,failed,,,,
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_memory,phi,0.9421400195728952,7.002636679302075,0.44104159161712714,0.28083951602725044,failed,,,,
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_memory,phi,2.8264200587186856,7.503107589066502,0.4565300157184052,0.2808395197444222,failed,,,,
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_memory,phi,2.829032258064516,7.503890640113834,0.45655383764658986,0.28083951935107376,failed,,,,
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_saturating,phi,0.0,1.7558967573179436,0.22085042432718674,0.22884164238601476,usable_limit,1.4418436728521418,True,0.95,3.841458820694124
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_saturating,phi,0.044268741162262135,1.748302485438209,0.22037231661177212,0.24356248641756345,usable_limit,1.2858056186491102,True,0.95,3.841458820694124
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_saturating,phi,0.1475624705408738,1.7323381476125093,0.2193638623391453,0.24677510969070657,usable_limit,0.9555674513320205,True,0.95,3.841458820694124
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_saturating,phi,0.4426874116226214,1.686960663916732,0.2164717497553236,0.23302844590570387,usable_limit,0.0,True,0.95,3.841458820694124
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_saturating,phi,0.99,1.810675886781786,0.22426892876768545,0.17691160625006325,success,2.5477814726786154,True,0.95,3.841458820694124
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_foraging,psi,0.0,88.54195932855367,1.5682789516656792,0.21597826205581316,failed,nan,False,,
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_foraging,psi,1.4008472510695437e-06,88.54283070292719,1.5682866686550998,0.21597826132086784,failed,nan,False,,
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_foraging,psi,4.669490836898479e-06,88.54484783264066,1.5683045324369373,0.21597826120755137,failed,nan,False,,
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_foraging,psi,1.4008472510695437e-05,2.3527548268324385,0.25564487232359173,0.17021388011223668,usable_limit,0.0,True,0.95,3.841458820694124
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_foraging,psi,4.202541753208631e-05,6.836596088481416,0.43578142101546913,0.18174915783069376,success,38.40130985611279,False,0.95,3.841458820694124
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_foraging,psi,0.00014008472510695436,6.80874365217997,0.43489282371190063,0.22636440301783567,success,38.25434552712803,False,0.95,3.841458820694124
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_handling,psi,0.0,6.645456055566578,0.4296463680092223,0.14004775631278582,usable_limit,99.33818965237934,False,0.95,3.841458820694124
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_handling,psi,1.3632776678626225e-06,1.0702296361455585,0.17241983935743385,0.2809093796019854,usable_limit,33.60002668132322,False,0.95,3.841458820694124
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_handling,psi,4.544258892875408e-06,6.647566690333262,0.42971459166176224,0.1383764962864513,usable_limit,99.34962164248296,False,0.95,3.841458820694124
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_handling,psi,1.3632776678626225e-05,0.4208575616950172,0.10812255927817094,0.1209562856528598,usable_limit,0.0,True,0.95,3.841458820694124
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_handling,psi,4.089833003587867e-05,6.648224406209291,0.4297358492987062,0.13738444770874783,usable_limit,99.35318333676418,False,0.95,3.841458820694124
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_handling,psi,0.00013632776678626225,6.645044567491569,0.4296330659053261,0.1410670859471593,usable_limit,99.33596045558305,False,0.95,3.841458820694124
andren_lynx_roedeer_data_6,andren_lynx_roedeer,fear_instant,phi,0.0,7.369952931617552,0.479907313043934,0.3237180879494428,failed,nan,False,,
andren_lynx_roedeer_data_6,andren_lynx_roedeer,fear_instant,phi,0.039437508946457686,7.369981149692484,0.47990823177758696,0.32371808761496507,failed,nan,False,,
andren_lynx_roedeer_data_6,andren_lynx_roedeer,fear_instant,phi,0.13145836315485895,7.370047213763111,0.47991038270712294,0.32371808763666543,failed,nan,False,,
andren_lynx_roedeer_data_6,andren_lynx_roedeer,fear_instant,phi,0.3943750894645769,7.370227294080318,0.47991624575545466,0.3237078276830527,success,0.0,True,0.95,3.841458820694124
andren_lynx_roedeer_data_6,andren_lynx_roedeer,fear_instant,phi,1.1831252683937308,7.370767735696723,0.47993384100365605,0.3237079682676941,success,0.0023463995066508245,True,0.95,3.841458820694124
